SKU,Produto,Quantidade Vendida,Vendedor,Mês,Ano,Cidade,Estado,Preço,Total
HL4379,Televisão,5,Gabriel Thoni,6,2018,Curitiba,Paraná,2500,12500
HL4379,Televisão,3,Renan Nascimento,9,2018,Recife,Pernambuco,2500,7500
HL1148,Câmera,2,Camila Sobral,10,2018,Fortaleza,Ceará,2100,4200
HL1918,iPhone,3,Clara Bruno,7,2018,Fortaleza,Ceará,5300,15900
HL9962,Android,4,Eduardo Pacheco,12,2018,Fortaleza,Ceará,3400,13600
HL1918,iPhone,4,Sarah Souza,2,2018,São Paulo,São Paulo,5300,21200
HL7348,SmartWatch,3,Alexandre Rodriguez,5,2018,São Paulo,São Paulo,1400,4200
HL2714,Tablet,2,Thays Castro,3,2018,Curitiba,Paraná,1600,3200
HL4379,Televisão,4,Jessica Cordovil,2,2018,Rio de Janeiro,Rio de Janeiro,2500,10000
HL1148,Câmera,3,Camille Silva,3,2018,São Paulo,São Paulo,2100,6300
HL1918,iPhone,3,Alon Palmeira,11,2018,São Paulo,São Paulo,5300,15900
HL1918,iPhone,2,Rafael Rocha,12,2018,Fortaleza,Ceará,5300,10600
HL1918,iPhone,2,Camilla Guimarães,10,2018,Rio de Janeiro,Rio de Janeiro,5300,10600
HL4379,Televisão,1,Daniel Monteiro,5,2018,Goiânia,Goiás,2500,2500
HL4379,Televisão,4,Ylana Teraoka,6,2018,Porto Alegre,Rio Grande do Sul,2500,10000
HL2714,Tablet,2,Caio Ferreira,7,2018,Fortaleza,Ceará,1600,3200
HL8851,Notebook,3,Mariana Freire,11,2018,Fortaleza,Ceará,3500,10500
HL4379,Televisão,2,Carolina Alfradique,2,2018,Belo Horizonte,Minas Gerais,2500,5000
HL8851,Notebook,4,Leandro Rodrigues,8,2018,São Paulo,São Paulo,3500,14000
HL9962,Android,4,Elaine Santos,7,2018,Goiânia,Goiás,3400,13600
HL7348,SmartWatch,2,Henrique Silva,8,2018,São Paulo,São Paulo,1400,2800
HL4379,Televisão,5,Katharina Barros,3,2018,Rio de Janeiro,Rio de Janeiro,2500,12500
HL1918,iPhone,3,Lucas Rodrigues,10,2018,Curitiba,Paraná,5300,15900
HL8851,Notebook,5,Fillipe Almeida,12,2018,São Paulo,São Paulo,3500,17500
HL2714,Tablet,5,Carla Zakhm,11,2018,Recife,Pernambuco,1600,8000
HL4379,Televisão,1,Danilo Rubim,2,2018,Belo Horizonte,Minas Gerais,2500,2500
HL1918,iPhone,4,Bianca Tatsch,10,2018,Recife,Pernambuco,5300,21200
HL1918,iPhone,5,Bernard Pedrosa,7,2018,Belo Horizonte,Minas Gerais,5300,26500
HL1918,iPhone,3,Gabriel Silva,8,2018,Curitiba,Paraná,5300,15900
HL2714,Tablet,1,Pedro Oliveira,12,2018,Fortaleza,Ceará,1600,1600
HL1148,Câmera,4,Gabriel Puntel,9,2018,São Paulo,São Paulo,2100,8400
HL1918,iPhone,5,Clarissa Santos,12,2018,São Paulo,São Paulo,5300,26500
HL1918,iPhone,2,Danilo Rubim,11,2018,São Paulo,São Paulo,5300,10600
HL7348,SmartWatch,1,Nathan Morelli,1,2018,São Paulo,São Paulo,1400,1400
HL1148,Câmera,1,Rubens Netto,7,2018,Porto Alegre,Rio Grande do Sul,2100,2100
HL1918,iPhone,3,Guido Monteiro,4,2018,Recife,Pernambuco,5300,15900
HL7348,SmartWatch,4,Beatriz Li,12,2018,São Paulo,São Paulo,1400,5600
HL2714,Tablet,1,Sarah Souza,1,2018,São Paulo,São Paulo,1600,1600
HL8851,Notebook,5,João Aires,12,2018,São Paulo,São Paulo,3500,17500
HL9962,Android,1,Rodrigo Silva,1,2018,Rio de Janeiro,Rio de Janeiro,3400,3400
HL1148,Câmera,2,Gabriel Almeida,11,2018,Salvador,Bahia,2100,4200
HL4379,Televisão,3,Júlio Freire,6,2018,Rio de Janeiro,Rio de Janeiro,2500,7500
HL2714,Tablet,5,Rodrigo Alves,2,2018,Salvador,Bahia,1600,8000
HL1148,Câmera,5,Paloma Sperandei,9,2018,Porto Alegre,Rio Grande do Sul,2100,10500
HL4379,Televisão,1,Eduardo Quindeler,7,2018,Recife,Pernambuco,2500,2500
HL1918,iPhone,5,Lenon Fernandes,3,2018,Goiânia,Goiás,5300,26500
HL8851,Notebook,2,Larissa Cruz,9,2018,Recife,Pernambuco,3500,7000
HL4379,Televisão,2,Guilherme Merotto,11,2018,São Paulo,São Paulo,2500,5000
